Crank Angle	PCYL1	CAM_TRIG	
deg	bar	V	
30.7	13.079		
30.8	13.012		
30.9	12.945		
31.0	12.879	0.85920	
31.1	12.812		
31.2	12.748		
31.3	12.684		
31.4	12.618		
31.5	12.554		
31.6	12.490		
31.7	12.429		
31.8	12.365		
31.9	12.303		
32.0	12.239	0.85920	
32.1	12.176		
32.2	12.117		
32.3	12.056		
32.4	11.994		
32.5	11.933		
32.6	11.874		
32.7	11.813		
32.8	11.755		
32.9	11.696		
33.0	11.637	0.85920	
33.1	11.576		
33.2	11.520		
33.3	11.462		
33.4	11.406		
33.5	11.350		
33.6	11.294		
33.7	11.235		
33.8	11.182		
33.9	11.126		
34.0	11.070	0.85920	
34.1	11.014		
34.2	10.961		
34.3	10.907		
34.4	10.851		
34.5	10.798		
34.6	10.748		
34.7	10.694		
34.8	10.641		
34.9	10.588		
35.0	10.537	0.85920	
35.1	10.484		
35.2	10.433		
35.3	10.383		
35.4	10.329		
35.5	10.281		
35.6	10.231		
35.7	10.180		
35.8	10.132		
35.9	10.082		
36.0	10.031	0.85920	
36.1	9.986		
36.2	9.938		
36.3	9.887		
36.4	9.839		
36.5	9.794		
36.6	9.749		
36.7	9.701		
36.8	9.653		
36.9	9.605		
37.0	9.562	0.85920	
37.1	9.517		
37.2	9.469		
37.3	9.424		
37.4	9.381		
37.5	9.336		
37.6	9.290		
37.7	9.250		
37.8	9.205		
37.9	9.157		
38.0	9.115	0.85920	
38.1	9.072		
38.2	9.032		
38.3	8.987		
38.4	8.944		
38.5	8.904		
38.6	8.861		
38.7	8.821		
38.8	8.779		
38.9	8.736		
39.0	8.699	0.85888	
39.1	8.656		
39.2	8.619		
39.3	8.579		
39.4	8.539		
39.5	8.496		
39.6	8.457		
39.7	8.417		
39.8	8.379		
39.9	8.339		
40.0	8.305	0.85888	
40.1	8.267		
40.2	8.227		
40.3	8.190		
40.4	8.153		
40.5	8.116		
40.6	8.081		
40.7	8.041		
40.8	8.004		
40.9	7.969		
41.0	7.934	0.85888	
41.1	7.897		
41.2	7.862		
41.3	7.825		
41.4	7.790		
41.5	7.753		
41.6	7.719		
41.7	7.684		
41.8	7.649		
41.9	7.615		
42.0	7.580	0.85888	
42.1	7.548		
42.2	7.513		
42.3	7.481		
42.4	7.449		
42.5	7.415		
42.6	7.383		
42.7	7.348		
42.8	7.319		
42.9	7.284		
43.0	7.252	0.85888	
43.1	7.220		
43.2	7.188		
43.3	7.156		
43.4	7.127		
43.5	7.095		
43.6	7.066		
43.7	7.034		
43.8	7.005		
43.9	6.973		
44.0	6.943	0.85888	
44.1	6.914		
44.2	6.885		
44.3	6.855		
44.4	6.823		
44.5	6.794		
44.6	6.765		
44.7	6.738		
44.8	6.706		
44.9	6.680		
45.0	6.653	0.85888	
45.1	6.624		
45.2	6.594		
